"ID";"BedrijfstakkenWoningen";"RegioS";"Perioden";"AantalInstallaties_1";"OpgesteldVermogenVanZonnepanelen_2"
"373";"E007161";"GM1859";"2014JJ00";"    1020";"    5824"
"374";"E007161";"GM1859";"2015JJ00";"    1443";"    7878"
"375";"E007161";"GM1859";"2016JJ00";"    1861";"    9775"
"376";"E007161";"GM1859";"2017JJ00";"    2306";"   12177"
"377";"E007161";"GM1859";"2018JJ00";"    2970";"   18096"
"378";"E007161";"GM1721";"2012JJ00";"     155";"     797"
"379";"E007161";"GM1721";"2013JJ00";"     317";"    1795"
"380";"E007161";"GM1721";"2014JJ00";"     452";"    2470"
"381";"E007161";"GM1721";"2015JJ00";"     598";"    4075"
"382";"E007161";"GM1721";"2016JJ00";"     761";"    5841"
"383";"E007161";"GM1721";"2017JJ00";"    1015";"    7271"
"384";"E007161";"GM1721";"2018JJ00";"    1362";"   11370"
"385";"E007161";"GM0753";"2012JJ00";"      93";"     470"
"386";"E007161";"GM0753";"2013JJ00";"     318";"    1451"
"387";"E007161";"GM0753";"2014JJ00";"     497";"    2056"
"388";"E007161";"GM0753";"2015JJ00";"     640";"    2937"
"389";"E007161";"GM0753";"2016JJ00";"     793";"    3844"
"390";"E007161";"GM0753";"2017JJ00";"    1096";"    5711"
"391";"E007161";"GM0753";"2018JJ00";"    1646";"    8772"
"392";"E007161";"GM0209";"2012JJ00";"      77";"     220"
"393";"E007161";"GM0209";"2013JJ00";"     234";"     992"
"394";"E007161";"GM0209";"2014JJ00";"     364";"    1611"
"395";"E007161";"GM0209";"2015JJ00";"     478";"    2238"
"396";"E007161";"GM0209";"2016JJ00";"     601";"    2795"
"397";"E007161";"GM0209";"2017JJ00";"    1022";"    4200"
"398";"E007161";"GM0209";"2018JJ00";"    1343";"    6362"
"399";"E007161";"GM0375";"2012JJ00";"     104";"     184"
"400";"E007161";"GM0375";"2013JJ00";"     207";"     462"
"401";"E007161";"GM0375";"2014JJ00";"     323";"    1327"
"402";"E007161";"GM0375";"2015JJ00";"     454";"    1938"
"403";"E007161";"GM0375";"2016JJ00";"     600";"    2579"
"404";"E007161";"GM0375";"2017JJ00";"    1072";"    3953"
"405";"E007161";"GM0375";"2018JJ00";"    1285";"    4989"
"406";"E007161";"GM0310";"2012JJ00";"     195";"     472"
"407";"E007161";"GM0310";"2013JJ00";"     361";"    1050"
"408";"E007161";"GM0310";"2014JJ00";"     507";"    1570"
"409";"E007161";"GM0310";"2015JJ00";"     677";"    2331"
"410";"E007161";"GM0310";"2016JJ00";"     839";"    3477"
"411";"E007161";"GM0310";"2017JJ00";"    1043";"    4378"
"412";"E007161";"GM0310";"2018JJ00";"    1343";"    5716"
"413";"E007161";"GM0585";"2012JJ00";"     157";"     658"
"414";"E007161";"GM0585";"2013JJ00";"     292";"    1166"
"415";"E007161";"GM0585";"2014JJ00";"     562";"    2042"
"416";"E007161";"GM0585";"2015JJ00";"     766";"    2592"
